date,avg_delta
2025-10-31,757.8
2025-11-02,481.2
2025-11-08,879.2
2025-11-14,219.2
2025-11-16,1134.4
2025-11-21,1256.8
2025-11-24,1519.2
2025-11-29,1627.2
2025-12-03,2380.2
2025-12-05,1491.4
2025-12-05,1398.2
2025-12-07,1159.2
2025-12-08,1229.4
2025-12-09,1211.6
2025-12-11,1153.4
2025-12-13,984
2025-12-21,812.4
2025-12-28,750.2
2026-01-01,1007.4
2026-01-03,999.4
2026-01-04,1281.4
2026-01-10,1827
2026-01-12,2132.2
2026-01-14,2250.6
2026-01-15,3253.2
2026-01-16,3569
