Description	Resource	Path	Location	Type
The method createBoldSpan(String) from the type CComponentListValidationSteps can be declared as static	CComponentListValidationSteps.java	/derbent/src/main/java/tech/derbent/app/validation/validationstep/view	line 601	Java Problem
The method createConfigUnchecked(Class<?>, Object) from the type CDialogLink can be declared as static	CDialogLink.java	/derbent/src/main/java/tech/derbent/app/links/view	line 104	Java Problem
The method createFieldCheckbox(CReportFieldDescriptor) from the type CDialogReportConfiguration can be declared as static	CDialogReportConfiguration.java	/derbent/src/main/java/tech/derbent/api/reporting	line 76	Java Problem
The method createMetricRow(String, String, VaadinIcon, boolean) from the type CPageServiceInvoice can be declared as static	CPageServiceInvoice.java	/derbent/src/main/java/tech/derbent/app/invoices/invoice/service	line 205	Java Problem
The method createMilestoneBadge(CInvoice) from the type CPageServiceInvoice can potentially be declared as static	CPageServiceInvoice.java	/derbent/src/main/java/tech/derbent/app/invoices/invoice/service	line 139	Java Problem
The method createPaymentPlanInfo(CInvoice) from the type CPageServiceInvoice can potentially be declared as static	CPageServiceInvoice.java	/derbent/src/main/java/tech/derbent/app/invoices/invoice/service	line 166	Java Problem
The method createPaymentStatusBadge(CPaymentStatus) from the type CPageServiceInvoice can potentially be declared as static	CPageServiceInvoice.java	/derbent/src/main/java/tech/derbent/app/invoices/invoice/service	line 92	Java Problem
The method downloadCSV(String, String) from the type CReportService can potentially be declared as static	CReportService.java	/derbent/src/main/java/tech/derbent/api/reports/service	line 38	Java Problem
The method elementExists(Page, String) from the type CBaseComponentTester can potentially be declared as static	CBaseComponentTester.java	/derbent/src/test/java/automated_tests/tech/derbent/ui/automation/components	line 24	Java Problem
The method escapeCsv(String) from the type CPageTestAuxillaryComprehensiveTest can be declared as static	CPageTestAuxillaryComprehensiveTest.java	/derbent/src/test/java/automated_tests/tech/derbent/ui/automation	line 489	Java Problem
The method escapeCsvValue(String) from the type CReportService can be declared as static	CReportService.java	/derbent/src/main/java/tech/derbent/api/reports/service	line 52	Java Problem
The method fillLinkDescription(Locator, String) from the type CLinkComponentTester can be declared as static	CLinkComponentTester.java	/derbent/src/test/java/automated_tests/tech/derbent/ui/automation/components	line 179	Java Problem
The method fillLinkType(Locator, String) from the type CLinkComponentTester can be declared as static	CLinkComponentTester.java	/derbent/src/test/java/automated_tests/tech/derbent/ui/automation/components	line 172	Java Problem
The method fillTargetEntityId(Locator, CLinkComponentTester.SourceInfo) from the type CLinkComponentTester can be declared as static	CLinkComponentTester.java	/derbent/src/test/java/automated_tests/tech/derbent/ui/automation/components	line 186	Java Problem
The method findField(Class<?>, String) from the type CReportService can be declared as static	CReportService.java	/derbent/src/main/java/tech/derbent/api/reports/service	line 122	Java Problem
The method findGetter(Class<?>, String) from the type CReportService can be declared as static	CReportService.java	/derbent/src/main/java/tech/derbent/api/reports/service	line 135	Java Problem
The method findTargetEntity(CComponentEntitySelection.EntityTypeConfig<?>, Long) from the type CDialogLink can be declared as static	CDialogLink.java	/derbent/src/main/java/tech/derbent/app/links/view	line 187	Java Problem
The method formatCurrency(BigDecimal) from the type CFinancialDashboardView can be declared as static	CFinancialDashboardView.java	/derbent/src/main/java/tech/derbent/app/invoices/invoice/view	line 202	Java Problem
The method formatCurrency(BigDecimal) from the type CPageServiceInvoice can be declared as static	CPageServiceInvoice.java	/derbent/src/main/java/tech/derbent/app/invoices/invoice/service	line 237	Java Problem
The method formatDuration(Long) from the type CComponentListValidationCaseResults can be declared as static	CComponentListValidationCaseResults.java	/derbent/src/main/java/tech/derbent/app/validation/validationsession/view	line 266	Java Problem
The method formatFieldValue(Object) from the type CReportService can be declared as static	CReportService.java	/derbent/src/main/java/tech/derbent/api/reports/service	line 152	Java Problem
The method formatFileSize(long) from the type CDialogAttachment can be declared as static	CDialogAttachment.java	/derbent/src/main/java/tech/derbent/app/attachments/view	line 152	Java Problem
The method formatValue(Object) from the type CReportFieldDescriptor can be declared as static	CReportFieldDescriptor.java	/derbent/src/main/java/tech/derbent/api/reporting	line 165	Java Problem
The method generateCSVReport(List<T>, Class<T>, String) from the type CPageService<EntityClass> can potentially be declared as static	CPageService.java	/derbent/src/main/java/tech/derbent/api/services/pageservice	line 252	Java Problem
The method getAmount() of type CProjectIncome should be tagged with @Override since it actually overrides a superinterface method	CProjectIncome.java	/derbent/src/main/java/tech/derbent/app/projectincomes/projectincome/domain	line 145	Java Problem
The method getColor() of type CAttachment should be tagged with @Override since it actually overrides a superinterface method	CAttachment.java	/derbent/src/main/java/tech/derbent/app/attachments/domain	line 288	Java Problem
The method getCurrency() of type CProjectIncome should be tagged with @Override since it actually overrides a superinterface method	CProjectIncome.java	/derbent/src/main/java/tech/derbent/app/projectincomes/projectincome/domain	line 159	Java Problem
The method getCurrentWIP() from the type CKanbanColumn can potentially be declared as static	CKanbanColumn.java	/derbent/src/main/java/tech/derbent/app/kanban/kanbanline/domain	line 113	Java Problem
The method getDepth(CProjectItem<?>) from the type CAgileParentRelationService can potentially be declared as static	CAgileParentRelationService.java	/derbent/src/main/java/tech/derbent/api/domains	line 123	Java Problem
The method getDescription() of type CAttachment should be tagged with @Override since it actually overrides a superclass method	CAttachment.java	/derbent/src/main/java/tech/derbent/app/attachments/domain	line 280	Java Problem
The method getDescription() of type CDocumentType should be tagged with @Override since it actually overrides a superclass method	CDocumentType.java	/derbent/src/main/java/tech/derbent/app/documenttypes/domain	line 68	Java Problem
The method getDescription() of type CLink should be tagged with @Override since it actually overrides a superclass method	CLink.java	/derbent/src/main/java/tech/derbent/app/links/domain	line 192	Java Problem
The method getDescription() of type CValidationSuite should be tagged with @Override since it actually overrides a superclass method	CValidationSuite.java	/derbent/src/main/java/tech/derbent/app/validation/validationsuite/domain	line 123	Java Problem
The method getEntityType(CProjectItem<?>) from the type CDialogParentSelection can be declared as static	CDialogParentSelection.java	/derbent/src/main/java/tech/derbent/api/ui/dialogs	line 155	Java Problem
The method getFieldValue(Object, String) from the type CReportFieldDescriptor can be declared as static	CReportFieldDescriptor.java	/derbent/src/main/java/tech/derbent/api/reporting	line 190	Java Problem
The method getFileExtension(String) from the type CDocumentTypeService can be declared as static	CDocumentTypeService.java	/derbent/src/main/java/tech/derbent/app/documenttypes/service	line 86	Java Problem
The method getGridRowCount(Page) from the type CBaseComponentTester can potentially be declared as static	CBaseComponentTester.java	/derbent/src/test/java/automated_tests/tech/derbent/ui/automation/components	line 241	Java Problem
The method getLogger() from the type COneToOneRelationServiceBase<T> can potentially be declared as static	COneToOneRelationServiceBase.java	/derbent/src/main/java/tech/derbent/api/domains	line 68	Java Problem
The method getParent(CProjectItem<?>) from the type CAgileParentRelationService can potentially be declared as static	CAgileParentRelationService.java	/derbent/src/main/java/tech/derbent/api/domains	line 169	Java Problem
The method getRandom(CCompany) of type CUserCompanyRoleService should be tagged with @Override since it actually overrides a superclass method	CUserCompanyRoleService.java	/derbent/src/main/java/tech/derbent/api/roles/service	line 83	Java Problem
The method getRandom(CCompany) of type CUserProjectRoleService should be tagged with @Override since it actually overrides a superclass method	CUserProjectRoleService.java	/derbent/src/main/java/tech/derbent/api/roles/service	line 91	Java Problem
The method getTargetEntity(CLink) from the type CComponentListLinks can be declared as static	CComponentListLinks.java	/derbent/src/main/java/tech/derbent/app/links/view	line 262	Java Problem
The method hasException(Page) from the type CBaseComponentTester can potentially be declared as static	CBaseComponentTester.java	/derbent/src/test/java/automated_tests/tech/derbent/ui/automation/components	line 35	Java Problem
The method isDateInRange(LocalDate, LocalDate, LocalDate) from the type CFinancialSummaryService can be declared as static	CFinancialSummaryService.java	/derbent/src/main/java/tech/derbent/app/invoices/invoice/service	line 212	Java Problem
The method isDialogOpen(Page) from the type CBaseComponentTester can potentially be declared as static	CBaseComponentTester.java	/derbent/src/test/java/automated_tests/tech/derbent/ui/automation/components	line 130	Java Problem
The method isElementEnabled(Page, String) from the type CCrudToolbarTester can be declared as static	CCrudToolbarTester.java	/derbent/src/test/java/automated_tests/tech/derbent/ui/automation/components	line 199	Java Problem
The method isEmailField(String) from the type CPageTestAuxillaryComprehensiveTest can be declared as static	CPageTestAuxillaryComprehensiveTest.java	/derbent/src/test/java/automated_tests/tech/derbent/ui/automation	line 595	Java Problem
The method isPostgreSql(String) from the type CBabDataInitializer can be declared as static	CBabDataInitializer.java	/derbent/src/main/java/tech/derbent/bab/config	line 111	Java Problem
The method loadChildrenFromRelations(List<CParentChildRelation>) from the type CParentChildRelationService can be declared as static	CParentChildRelationService.java	/derbent/src/main/java/tech/derbent/api/domains	line 138	Java Problem
